"names","budgets","years","currencies"
"Carmencita",NA,"1894",NA
"Blacksmith Scene",NA,"1893",NA
"Corbett and Courtney Before the Kinetograph",NA,"1894",NA
"Edison Kinetoscopic Record of a Sneeze",NA,"1894",NA
"L'arrivée d'un train à La Ciotat",NA,"1896",NA
"The Derby 1895",NA,"1895",NA
"Les forgerons",NA,"1895",NA
"Opening of the Kiel Canal",NA,"1895",NA
"The Oxford and Cambridge University Boat Race",NA,"1895",NA
"Awakening of Rip",NA,"1896",NA
"A Chegada do Comboio Inaugural à Estação Central do Porto",NA,"1897",NA
"Exit of Rip and the Dwarf",NA,"1896",NA
"Rip Leaving Sleepy Hollow",NA,"1896",NA
"Rip Meeting the Dwarf",NA,"1896",NA
"Rip Passing Over the Mountain",NA,"1896",NA
"Rip's Toast",NA,"1896",NA
"Rip's Toast to Hudson",NA,"1896",NA
"Rip's Twenty Years' Sleep",NA,"1896",NA
"Saída do Pessoal Operário da Fábrica Confiança",NA,"1896",NA
"The Soldier's Courtship",NA,"1896",NA
"Une partie de cartes",NA,"1896",NA
"The Corbett-Fitzsimmons Fight",NA,"1897",NA
"Les chutes",NA,"1897",NA
"The X-Ray Fiend",NA,"1897",NA
"A Sea Cave Near Lisbon",NA,"1896",NA
"Cinderella",NA,"1898",NA
"Come Along, Do!",NA,"1898",NA
"The Corsican Brothers",NA,"1898",NA
"Cripple Creek Bar-Room Scene",NA,"1899",NA
"Faust and Mephistopheles",NA,"1898",NA
"The Miller and the Sweep",NA,"1897",NA
"Photographing a Ghost",NA,"1898",NA
"L'affaire Dreyfus",NA,"1899",NA
"Casey at the Bat",NA,"1899",NA
"Distributing a War Extra",NA,"1899",NA
"King John",NA,"1899",NA
"The Kiss in the Tunnel",NA,"1899",NA
"Above the Limit",NA,"1900",NA
"As Seen Through a Telescope",NA,"1900",NA
"Buffalo Bill's Wild West Show",NA,"1900",NA
"Grandma's Reading Glass",NA,"1900",NA
"The House That Jack Built",NA,"1900",NA
"How It Feels to Be Run Over",NA,"1900",NA
"Soldiers of the Cross",NA,"1900",NA
"Jack and the Beanstalk",NA,"1902",NA
"Demolishing and Building Up the Star Theatre",NA,"1901",NA
"The Troublesome Fly",NA,"1900",NA
"Le voyage dans la lune",30000,"1902","FRF"
"Alice in Wonderland",NA,"1903",NA
"The Great Train Robbery",150,"1903","USD"
"Kit Carson",NA,"1903",NA
"Life of an American Fireman",NA,"1903",NA
"The Messenger Boy's Mistake",NA,"1903",NA
"N.Y. Fire Department Returning",NA,"1903",NA
"Rip Van Winkle",NA,"1903",NA
"Uncle Tom's Cabin",NA,"1903",NA
"The Land Beyond the Sunset",NA,"1912",NA
"Opening the Williamsburg Bridge",NA,"1904",NA
"Personal",NA,"1904",NA
"The Kleptomaniac",NA,"1905",NA
"The Little Train Robbery",NA,"1905",NA
"New York Subway",NA,"1905",NA
"Dream of a Rarebit Fiend",NA,"1906",NA
"Kathleen Mavourneen",NA,"1906",NA
"The Night Before Christmas",NA,"1905",NA
"The Story of the Kelly Gang",2250,"1906","USD"
"A Batalha das Flores no Campo Grande",NA,"1907",NA
"Ben Hur",500,"1907","USD"
"L'enfant prodigue",NA,"1907",NA
"Eureka Stockade",15000,"1907","AUD"
"Robbery Under Arms",1000,"1907","AUD"
"Salaviinanpolttajat",NA,"1907",NA
"The Adventures of Dollie",1000,"1908","USD"
"After Many Years",NA,"1908",NA
"At the Crossroads of Life",NA,"1908",NA
"At the French Ball",NA,"1908",NA
"Balked at the Altar",NA,"1908",NA
"Caught by Wireless",NA,"1908",NA
"Classmates",NA,"1908",NA
"Cupid's Pranks",NA,"1908",NA
"Falsely Accused!",NA,"1908",NA
"A Famous Escape",NA,"1908",NA
"The Girl and the Outlaw",NA,"1908",NA
"The Guerrilla",NA,"1908",NA
"The Helping Hand",NA,"1908",NA
"King of the Cannibal Islands",NA,"1908",NA
"Mr. Jones at the Ball",NA,"1908",NA
"Mrs. Jones Entertains",NA,"1909",NA
"Old Isaacs, the Pawnbroker",NA,"1908",NA
"The Princess in the Vase",NA,"1908",NA
"Rescued from an Eagle's Nest",NA,"1908",NA
"The Taming of the Shrew",NA,"1908",NA
"When Knights Were Bold",NA,"1908",NA
"The Yellow Peril",NA,"1908",NA
"And a Little Child Shall Lead Them",NA,"1909",NA
"At the Altar",NA,"1909",NA
"The Awakening",NA,"1909",NA
"A Baby's Shoe",NA,"1909",NA
"A Corner in Wheat",NA,"1909",NA
"The Country Doctor",NA,"1909",NA
"Os Crimes de Diogo Alves",NA,"1909",NA
"The Curtain Pole",NA,"1909",NA
"A Drunkard's Reformation",NA,"1909",NA
"The French Duel",NA,"1909",NA
"Getting Even",NA,"1909",NA
"The Gibson Goddess",NA,"1909",NA
"The Girls and Daddy",NA,"1909",NA
"The Heart of an Outlaw",NA,"1909",NA
"Her First Biscuits",NA,"1909",NA
"His Wife's Visitor",NA,"1909",NA
"The Indian Runner's Romance",NA,"1909",NA
"Jones and His New Neighbors",NA,"1909",NA
"Jones and the Lady Book Agent",NA,"1909",NA
"Lines of White on a Sullen Sea",NA,"1909",NA
"The Lonely Villa",NA,"1909",NA
"The Mountaineer's Honor",NA,"1909",NA
"Mr. Jones Has a Card Party",NA,"1909",NA
"Mr. Jones' Burglar",NA,"1909",NA
"Mrs. Jones' Lover; or, 'I Want My Hat'",NA,"1909",NA
"Oh, Uncle!",NA,"1909",NA
"Princess Nicotine; or, The Smoke Fairy",NA,"1909",NA
"The Red Man's View",NA,"1909",NA
"Resurrection",NA,"1909",NA
"The Sealed Room",NA,"1909",NA
"The Suicide Club",NA,"1909",NA
"They Would Elope",NA,"1909",NA
"Those Awful Hats",NA,"1909",NA
"A Trap for Santa Claus",NA,"1909",NA
"The Violin Maker of Cremona",NA,"1909",NA
"The Way of Man",NA,"1909",NA
"With Her Card",NA,"1909",NA
"Afgrunden",NA,"1910",NA
"All on Account of the Milk",NA,"1910",NA
"An Arcadian Maid",NA,"1910",NA
"As It Is in Life",NA,"1910",NA
"As the Bells Rang Out!",NA,"1910",NA
"A Flash of Light",NA,"1910",NA
"Frankenstein",NA,"1910",NA
"The Fugitive",NA,"1910",NA
"Hamlet",180,"1910","GBP"
"His New Lid",NA,"1910",NA
"The House with Closed Shutters",NA,"1910",NA
"In Old California",NA,"1910",NA
"In the Border States",NA,"1910",NA
"Love Among the Roses",NA,"1910",NA
"Muggsy Becomes a Hero",NA,"1910",NA
"Ramona",NA,"1910",NA
"The Two Brothers",NA,"1910",NA
"The Unchanging Sea",NA,"1910",NA
"The Usurer",NA,"1910",NA
